"Game_Num","Week","Date","Time","Day","Home","Location","Away","Notes","Neutral"
"706","13","Nov 19, 2016","12:00 PM","Sat","Colorado State",NA,"New Mexico","",0
"707","13","Nov 19, 2016","12:00 PM","Sat","Florida",NA,"Presbyterian","",0
"708","13","Nov 19, 2016","12:00 PM","Sat","Florida Atlantic",NA,"Old Dominion","",0
"709","13","Nov 19, 2016","12:00 PM","Sat","Florida International",NA,"Marshall","",0
"710","13","Nov 19, 2016","12:00 PM","Sat","Fresno State",NA,"Hawaii","",0
"711","13","Nov 19, 2016","12:00 PM","Sat","Georgia",NA,"Louisiana-Lafayette","",0
"712","13","Nov 19, 2016","12:00 PM","Sat","Georgia State",NA,"Georgia Southern","",0
"713","13","Nov 19, 2016","12:00 PM","Sat","Georgia Tech",NA,"Virginia","",0
"714","13","Nov 19, 2016","12:00 PM","Sat","Illinois",NA,"Iowa","",0
"715","13","Nov 19, 2016","12:00 PM","Sat","Iowa State",NA,"Texas Tech","",0
"716","13","Nov 19, 2016","12:00 PM","Sat","Kansas",NA,"Texas","",0
"717","13","Nov 19, 2016","12:00 PM","Sat","Kentucky",NA,"Austin Peay","",0
"718","13","Nov 19, 2016","12:00 PM","Sat","Louisiana State",NA,"South Alabama","",0
"719","13","Nov 19, 2016","12:00 PM","Sat","Michigan",NA,"Indiana","",0
"720","13","Nov 19, 2016","12:00 PM","Sat","Michigan State",NA,"Ohio State","",0
"721","13","Nov 19, 2016","12:00 PM","Sat","Minnesota",NA,"Northwestern","",0
"722","13","Nov 19, 2016","12:00 PM","Sat","Mississippi State",NA,"Arkansas","",0
"723","13","Nov 19, 2016","12:00 PM","Sat","Nebraska",NA,"Maryland","",0
"724","13","Nov 19, 2016","12:00 PM","Sat","Nevada",NA,"Utah State","",0
"725","13","Nov 19, 2016","12:00 PM","Sat","New Mexico State",NA,"Texas State","",0
"726","13","Nov 19, 2016","12:00 PM","Sat","North Carolina",NA,"Citadel","",0
"727","13","Nov 19, 2016","12:00 PM","Sat","North Carolina State",NA,"Miami (FL)","",0
"728","13","Nov 19, 2016","12:00 PM","Sat","North Texas",NA,"Southern Mississippi","",0
"729","13","Nov 19, 2016","4:30 PM","Sat","Notre Dame",NA,"Virginia Tech","",0
"730","13","Nov 19, 2016","12:00 PM","Sat","Oregon State",NA,"Arizona","",0
"731","13","Nov 19, 2016","12:00 PM","Sat","Pittsburgh",NA,"Duke","",0
"732","13","Nov 19, 2016","12:00 PM","Sat","Purdue",NA,"Wisconsin","",0
"733","13","Nov 19, 2016","12:00 PM","Sat","Rice",NA,"Texas-El Paso","",0
"734","13","Nov 19, 2016","9:00 PM","Sat","Rutgers",NA,"Penn State","",0
"735","13","Nov 19, 2016","12:00 PM","Sat","San Jose State",NA,"Air Force","",0
"736","13","Nov 19, 2016","12:00 PM","Sat","South Carolina",NA,"Western Carolina","",0
"737","13","Nov 19, 2016","12:00 PM","Sat","Southern Methodist",NA,"South Florida","",0
"738","13","Nov 19, 2016","12:00 PM","Sat","Syracuse",NA,"Florida State","",0
"739","13","Nov 19, 2016","12:00 PM","Sat","Tennessee",NA,"Missouri","",0
"740","13","Nov 19, 2016","12:00 PM","Sat","Texas A&M",NA,"Texas-San Antonio","",0
"741","13","Nov 19, 2016","12:00 PM","Sat","Texas Christian",NA,"Oklahoma State","",0
"742","13","Nov 19, 2016","12:00 PM","Sat","Tulane",NA,"Temple","",0
"743","13","Nov 19, 2016","12:00 PM","Sat","UCLA",NA,"Southern California","",0
"744","13","Nov 19, 2016","12:00 PM","Sat","Utah",NA,"Oregon","",0
"745","13","Nov 19, 2016","12:00 PM","Sat","Vanderbilt",NA,"Mississippi","",0
"746","13","Nov 19, 2016","12:00 PM","Sat","Wake Forest",NA,"Clemson","",0
"747","13","Nov 19, 2016","12:00 PM","Sat","Washington",NA,"Arizona State","",0
"748","13","Nov 19, 2016","12:00 PM","Sat","West Virginia",NA,"Oklahoma","",0
"749","13","Nov 19, 2016","12:00 PM","Sat","Western Michigan",NA,"Buffalo","",0
"750","13","Nov 19, 2016","12:00 PM","Sat","Wyoming",NA,"San Diego State","",0
"751","14","Nov 22, 2016","8:00 PM","Tue","Eastern Michigan",NA,"Central Michigan","",0
"752","14","Nov 22, 2016","8:00 PM","Tue","Miami (OH)",NA,"Ball State","",0
"753","14","Nov 22, 2016","8:00 PM","Tue","Ohio",NA,"Akron","",0
"754","14","Nov 24, 2016","12:00 PM","Thu","Texas A&M",NA,"Louisiana State","",0
"755","14","Nov 25, 2016","4:30 PM","Fri","Air Force",NA,"Boise State","",0
"756","14","Nov 25, 2016","10:30 PM","Fri","Arizona",NA,"Arizona State","",0
"757","14","Nov 25, 2016","12:00 PM","Fri","Bowling Green State",NA,"Buffalo","",0
"758","14","Nov 25, 2016","12:00 PM","Fri","Iowa",NA,"Nebraska","",0
"759","14","Nov 25, 2016","12:00 PM","Fri","Kent State",NA,"Northern Illinois","",0
"760","14","Nov 25, 2016","12:00 PM","Fri","Memphis",NA,"Houston","",0
"761","14","Nov 25, 2016","3:30 PM","Fri","Missouri",NA,"Arkansas","",0
"762","14","Nov 25, 2016","12:00 PM","Fri","North Carolina",NA,"North Carolina State","",0
"763","14","Nov 25, 2016","12:00 PM","Fri","Southern Mississippi",NA,"Louisiana Tech","",0
"764","14","Nov 25, 2016","4:30 PM","Fri","Texas",NA,"Texas Christian","",0
"765","14","Nov 25, 2016","7:00 PM","Fri","Texas Tech",NA,"Baylor","",0
"766","14","Nov 25, 2016","12:00 PM","Fri","Tulsa",NA,"Cincinnati","",0
"767","14","Nov 25, 2016","12:00 PM","Fri","Washington State",NA,"Washington","",0
"768","14","Nov 25, 2016","12:00 PM","Fri","Western Michigan",NA,"Toledo","",0
"769","14","Nov 26, 2016","12:00 PM","Sat","Alabama",NA,"Auburn","",0
"770","14","Nov 26, 2016","12:00 PM","Sat","Brigham Young",NA,"Utah State","",0
"771","14","Nov 26, 2016","12:00 PM","Sat","California",NA,"UCLA","",0
"772","14","Nov 26, 2016","12:00 PM","Sat","Clemson",NA,"South Carolina","",0
"773","14","Nov 26, 2016","12:00 PM","Sat","Colorado",NA,"Utah","",0
"774","14","Nov 26, 2016","12:00 PM","Sat","Connecticut",NA,"Tulane","",0
"775","14","Nov 26, 2016","12:00 PM","Sat","Florida State",NA,"Florida","",0
"776","14","Nov 26, 2016","12:00 PM","Sat","Fresno State",NA,"San Jose State","",0
"777","14","Nov 26, 2016","12:00 PM","Sat","Georgia",NA,"Georgia Tech","",0
"778","14","Nov 26, 2016","12:00 PM","Sat","Hawaii",NA,"Massachusetts","",0
