"Rk","Wk","Date","Time","Day","Away","Pts","none","Home","Pts","TV","Notes","Away_CFB_Stats_Team_Code","Away_CFB_Stats_Name","Home_CFB_Stats_Team_Code","Home_CFB_Stats_Name"
"458","8","Oct 24 2015","","Sat","Army","0",NA,"Rice","0","","",725,"Army",574,"Rice"
"459","8","Oct 24 2015","","Sat","Auburn","0",NA,"Arkansas","0","","",37,"Auburn",31,"Arkansas"
"460","8","Oct 24 2015","","Sat","Boston College","0",NA,"Louisville","0","","",67,"Boston College",367,"Louisville"
"461","8","Oct 24 2015","","Sat","Bowling Green State","0",NA,"Kent State","0","","",71,"Bowling Green",331,"Kent State"
"462","8","Oct 24 2015","","Sat","Central Michigan","0",NA,"Ball State","0","","",129,"Central Michigan",47,"Ball State"
"463","8","Oct 24 2015","","Sat","Clemson","0",NA,"Miami (FL)","0","","",147,"Clemson",415,"Miami (Florida)"
"464","8","Oct 24 2015","","Sat","Colorado","0",NA,"Oregon State","0","","",157,"Colorado",528,"Oregon State"
"465","8","Oct 24 2015","","Sat","Connecticut","0",NA,"Cincinnati","0","","",164,"Connecticut",140,"Cincinnati"
"466","8","Oct 24 2015","","Sat","Duke","0",NA,"Virginia Tech","0","","",193,"Duke",742,"Virginia Tech"
"467","8","Oct 24 2015","","Sat","Eastern Michigan","0",NA,"Northern Illinois","0","","",204,"Eastern Michigan",503,"Northern Illinois"
"468","8","Oct 24 2015","","Sat","Florida Atlantic","0",NA,"Texas-El Paso","0","","",229,"Florida Atlantic",704,"UTEP"
"469","8","Oct 24 2015","","Sat","Florida State","0",NA,"Georgia Tech","0","","",234,"Florida State",255,"Georgia Tech"
"470","8","Oct 24 2015","","Sat","Fresno State","0",NA,"Air Force","0","","",96,"Fresno State",721,"Air Force"
"471","8","Oct 24 2015","","Sat","Hawaii","0",NA,"Nevada","0","","",277,"Hawai'i",466,"Nevada"
"472","8","Oct 24 2015","","Sat","Houston","0",NA,"Central Florida","0","","",288,"Houston",128,"UCF"
"473","8","Oct 24 2015","","Sat","Indiana","0",NA,"Michigan State","0","","",306,"Indiana",416,"Michigan State"
"474","8","Oct 24 2015","","Sat","Iowa State","0",NA,"Baylor","0","","",311,"Iowa State",51,"Baylor"
"475","8","Oct 24 2015","","Sat","Kansas","0",NA,"Oklahoma State","0","","",328,"Kansas",521,"Oklahoma State"
"476","8","Oct 24 2015","","Sat","Kansas State","0",NA,"Texas","0","","",327,"Kansas State",703,"Texas"
"477","8","Oct 24 2015","","Sat","Kentucky","0",NA,"Mississippi State","0","","",334,"Kentucky",430,"Mississippi State"
"478","8","Oct 24 2015","","Sat","Louisiana-Monroe","0",NA,"Idaho","0","","",498,"Louisiana-Monroe",295,"Idaho"
